13 1.1E+11 2.09E-09 -5.014296 5.30E-05 121.9462
13 1.10075E+11 2.09E-09 -5.078278 1.89E-05 138.5145
13 1.1015E+11 2.09E-09 -5.136382 4.85E-05 160.6964
13 1.10225E+11 2.09E-09 -5.010618 2.85E-05 120.7984
13 1.103E+11 2.09E-09 -5.105489 4.25E-05 151.298
13 1.10375E+11 2.09E-09 -5.10469 3.98E-05 125.0746
13 1.10451E+11 2.09E-09 -5.119457 4.31E-05 145.8499
13 1.10526E+11 2.09E-09 -5.135894 3.82E-05 138.0169
13 1.10601E+11 2.09E-09 -5.189006 1.84E-05 -139.5098
13 1.10676E+11 2.09E-09 -5.174748 3.84E-05 145.7893
13 1.10751E+11 2.09E-09 -5.249572 3.36E-05 142.567
13 1.10826E+11 2.09E-09 -5.119495 4.63E-05 126.9793
13 1.10901E+11 2.09E-09 -5.054304 4.72E-05 138.4817
13 1.10976E+11 2.09E-09 -5.203161 2.91E-05 173.9071
13 1.11051E+11 2.09E-09 -5.051551 2.36E-05 139.8043
13 1.11126E+11 2.09E-09 -5.169898 3.63E-05 159.4547
13 1.11202E+11 2.09E-09 -5.125751 3.11E-05 133.5208
13 1.11277E+11 2.09E-09 -5.077486 2.10E-05 118.4745
13 1.11352E+11 2.09E-09 -5.044503 3.22E-05 155.7843
13 1.11427E+11 2.09E-09 -5.222985 4.08E-05 138.6022
13 1.11502E+11 2.09E-09 -5.137407 3.17E-05 96.07371
13 1.11577E+11 2.09E-09 -5.050691 4.64E-05 118.3244
13 1.11652E+11 2.09E-09 -5.102388 5.73E-05 145.7849
13 1.11727E+11 2.09E-09 -5.020064 1.74E-05 163.6469
13 1.11802E+11 2.08E-09 -5.173744 2.83E-05 96.50558
13 1.11877E+11 2.09E-09 -4.975101 4.61E-05 118.5133
13 1.11952E+11 2.09E-09 -5.07029 3.40E-05 125.4721
13 1.12028E+11 2.09E-09 -5.104721 3.94E-05 113.8758
13 1.12103E+11 2.09E-09 -5.002678 4.61E-05 121.0541
13 1.12178E+11 2.09E-09 -5.153144 3.92E-05 118.4304
13 1.12253E+11 2.09E-09 -5.183244 2.42E-05 179.6248
13 1.12328E+11 2.09E-09 -5.076092 2.20E-05 119.9184
13 1.12403E+11 2.09E-09 -5.214267 2.38E-05 151.9787
13 1.12478E+11 2.08E-09 -5.103553 2.14E-06 110.8593
13 1.12553E+11 2.09E-09 -5.145449 1.78E-05 -86.96567
13 1.12628E+11 2.09E-09 -5.112238 9.53E-06 -45.49209
13 1.12703E+11 2.09E-09 -5.158294 3.72E-05 22.75806
13 1.12778E+11 2.09E-09 -5.197144 2.78E-05 6.534221
13 1.12854E+11 2.08E-09 -5.20969 1.78E-05 42.8742
